Age,M,F
0-4,155083,147270
5-9,156940,148573
10-14,174005,164774
15-19,174082,167137
20-24,194805,184717
25-29,201921,193548
30-34,174221,168222
35-39,160544,159588
40-44,183041,183106
45-49,192779,193165
50-54,214342,208243
55-59,189732,191628
60-64,166561,171478
65-69,155332,163813
70-74,169371,177201
75-79,101656,118718
80-84,60952,79493
85-89,29424,46718
90-94,11890,25074
95-99,2786,8669
100+,205,1070
