Ages,Num
 0-4,3515430
 5-9,3708320
10-14,3450782
15-19,3270795
20-24,3717960
25-29,4022272
30-34,3976030
35-39,3900901
40-44,3559955
45-49,4005397
50-54,4137131
55-59,3785564
60-64,3234026
65-69,3006776
70-74,2900152
75-79,1985125
80-84,1491797
85-89,918437
90 and over,528959
