0   	0   	0   	0.002	0.001	0.003	0   	0   	0.001	0.006	0.011	0.005	0.003	0.001	0.004	0.002	0.003	0.003	0   
0   	0   	0   	0.006	0.001	0   	0.002	0.003	0.005	0.007	0.025	0.033	0.012	0.015	0.005	0.006	0.007	0.016	0.004
0   	0   	0   	0.092	0.014	0   	0.001	0.001	0.002	0.002	0.004	0.007	0.008	0.009	0.001	0.006	0.001	0.001	0.004
0.005	0.016	0.149	0.352	0.145	0.011	0   	0   	0.003	0.006	0.006	0.008	0.001	0.005	0.001	0.004	0.007	0   	0.015
0.003	0.003	0.016	0.100	0.548	0.060	0.002	0.002	0.013	0.002	0.003	0.005	0.007	0.007	0.006	0.003	0.003	0.001	0.004
0.007	0   	0   	0.011	0.084	0.153	0.039	0.017	0.008	0.003	0.003	0.007	0.000	0.010	0.003	0   	0   	0   	0   
0   	0.005	0.001	0   	0.003	0.037	0.069	0.026	0.010	0.002	0.003	0.005	0.001	0.003	0.002	0   	0   	0   	0   
0   	0.005	0.001	0   	0.002	0.010	0.016	0.015	0.005	0.001	0.002	0.001	0.001	0.001	0.000	0.002	0.001	0.003	0.002
0.001	0.005	0.001	0.001	0.006	0.003	0.004	0.003	0.004	0.003	0.001	0.001	0.001	0.001	0   	0.001	0.000	0   	0.000
0.005	0.006	0.001	0.002	0.001	0.001	0.001	0.001	0.003	0.003	0.005	0.002	0.002	0.002	0.001	0.002	0.001	0   	0.001
0.010	0.024	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.005	0.006	0.006	0.003	0.002	0.001	0.000	0   	0   	0   
0.005	0.034	0.004	0.003	0.003	0.003	0.002	0.001	0.002	0.002	0.006	0.009	0.005	0.003	0.003	0.002	0.001	0.001	0.000
0.003	0.011	0.004	0.000	0.003	0.000	0.000	0.001	0.001	0.002	0.003	0.004	0.003	0.002	0.001	0.000	0.000	0.000	0.001
0.001	0.013	0.005	0.001	0.003	0.003	0.001	0.001	0.001	0.002	0.002	0.003	0.002	0.001	0.002	0.001	0   	0.000	0   
0.004	0.005	0.000	0.000	0.003	0.001	0.001	0.000	0   	0.001	0.001	0.002	0.001	0.002	0.002	0.001	0.000	0.000	0.001
0.002	0.006	0.004	0.002	0.001	0   	0   	0.001	0.001	0.002	0.001	0.002	0.000	0.001	0.001	0.001	0.001	0   	0.004
0.004	0.009	0.001	0.003	0.002	0   	0   	0.001	0.000	0.001	0   	0.002	0.000	0   	0.000	0.001	0   	0.001	0   
0.004	0.021	0.001	0   	0.001	0   	0   	0.002	0   	0   	0   	0.001	0.000	0.001	0.000	0   	0.001	0.001	0.004
0   	0.003	0.002	0.004	0.002	0   	0   	0.001	0.000	0.000	0   	0.000	0.001	0   	0.001	0.003	0   	0.003	0   
