0   	0   	0   	0   	0.008	0   	0.006	0.032	0.037	0.027	0.027	0.022	0.014	0.015	0.013	0.001	0.002	0   	0   
0   	0   	0   	0   	0.006	0.002	0.003	0.018	0.020	0.018	0.026	0.017	0.019	0.008	0.017	0.004	0.001	0   	0   
0   	0   	0   	0   	0.002	0   	0.004	0.004	0.009	0.010	0.006	0.005	0.005	0.010	0.006	0.006	0   	0   	0   
0   	0   	0   	0   	0.006	0   	0.001	0.004	0.005	0.005	0.003	0.004	0.004	0.005	0.007	0.005	0   	0   	0   
0.014	0.012	0.002	0.004	0.009	0.004	0.005	0.004	0.007	0.005	0.007	0.011	0.008	0.008	0.010	0.010	0.001	0   	0.004
0   	0.005	0   	0   	0.006	0.013	0.016	0.017	0.027	0.026	0.013	0.013	0.014	0.014	0.017	0.009	0.005	0.006	0.017
0.014	0.007	0.006	0.001	0.006	0.015	0.023	0.035	0.040	0.052	0.039	0.036	0.031	0.038	0.023	0.014	0.008	0.021	0.089
0.049	0.029	0.004	0.002	0.003	0.010	0.022	0.060	0.079	0.042	0.030	0.029	0.023	0.027	0.025	0.018	0.017	0.029	0.073
0.032	0.018	0.005	0.002	0.003	0.009	0.014	0.045	0.090	0.067	0.054	0.037	0.031	0.039	0.026	0.019	0.011	0.013	0.040
0.024	0.017	0.005	0.002	0.003	0.009	0.019	0.024	0.068	0.092	0.064	0.047	0.045	0.049	0.035	0.023	0.017	0.016	0.030
0.024	0.025	0.003	0.001	0.004	0.004	0.014	0.018	0.055	0.065	0.068	0.047	0.043	0.048	0.034	0.023	0.016	0.009	0.041
0.022	0.018	0.003	0.002	0.006	0.005	0.015	0.018	0.041	0.053	0.051	0.059	0.043	0.060	0.037	0.023	0.014	0.008	0.036
0.012	0.018	0.003	0.001	0.004	0.005	0.011	0.013	0.031	0.045	0.042	0.039	0.043	0.046	0.035	0.018	0.014	0.008	0.053
0.013	0.007	0.005	0.002	0.004	0.005	0.013	0.015	0.038	0.047	0.045	0.052	0.044	0.056	0.037	0.026	0.013	0.009	0.039
0.012	0.016	0.003	0.002	0.005	0.006	0.009	0.015	0.028	0.037	0.035	0.035	0.037	0.040	0.038	0.027	0.017	0.024	0.033
0.001	0.005	0.004	0.002	0.006	0.004	0.006	0.013	0.024	0.028	0.028	0.025	0.022	0.034	0.032	0.015	0.011	0.006	0.046
0.003	0.001	0   	0   	0.001	0.002	0.004	0.013	0.014	0.022	0.020	0.016	0.019	0.018	0.021	0.012	0.010	0.005	0.022
0   	0   	0   	0   	0   	0.003	0.010	0.023	0.018	0.022	0.012	0.009	0.011	0.012	0.032	0.006	0.005	0.001	0.009
0   	0   	0   	0   	0.001	0.005	0.026	0.034	0.033	0.025	0.033	0.026	0.043	0.033	0.026	0.030	0.013	0.006	0.009
