0   	0   	0   	0.029	0.020	0.021	0.021	0.036	0.108	0.354	0.416	0.186	0.063	0.021	0.035	0.051	0.059	0.021	0.004
0   	0   	0   	0.055	0.042	0.019	0.014	0.008	0.047	0.122	0.317	0.395	0.186	0.065	0.024	0.038	0.045	0.030	0.013
0   	0   	0   	0.082	0.047	0.016	0.012	0.003	0.016	0.030	0.077	0.201	0.175	0.072	0.019	0.014	0.019	0.022	0.009
0.078	0.154	0.133	0.041	0.066	0.015	0.006	0.009	0.008	0.016	0.063	0.271	0.352	0.213	0.048	0.016	0.019	0.020	0.048
0.037	0.081	0.052	0.046	0.077	0.050	0.020	0.009	0.010	0.020	0.043	0.117	0.262	0.184	0.089	0.024	0.014	0.012	0.037
0.054	0.052	0.026	0.015	0.070	0.201	0.087	0.045	0.021	0.019	0.021	0.065	0.151	0.229	0.095	0.016	0.004	0.005	0.034
0.050	0.036	0.018	0.006	0.026	0.082	0.285	0.153	0.083	0.012	0.010	0.034	0.070	0.186	0.095	0.027	0.008	0.009	0.038
0.056	0.013	0.003	0.005	0.008	0.027	0.097	0.261	0.177	0.043	0.009	0.013	0.039	0.093	0.067	0.031	0.010	0.009	0.022
0.094	0.043	0.008	0.003	0.005	0.007	0.030	0.100	0.397	0.153	0.041	0.017	0.015	0.031	0.060	0.036	0.017	0.008	0.013
0.313	0.114	0.016	0.005	0.010	0.007	0.004	0.025	0.155	0.437	0.172	0.046	0.016	0.018	0.031	0.036	0.025	0.007	0.016
0.375	0.301	0.042	0.021	0.021	0.007	0.004	0.005	0.043	0.175	0.388	0.167	0.055	0.018	0.010	0.024	0.036	0.023	0.011
0.184	0.412	0.120	0.101	0.063	0.025	0.014	0.008	0.019	0.051	0.184	0.350	0.174	0.063	0.019	0.017	0.027	0.024	0.018
0.056	0.172	0.093	0.116	0.125	0.051	0.025	0.022	0.015	0.016	0.053	0.154	0.292	0.139	0.040	0.020	0.017	0.020	0.027
0.018	0.058	0.037	0.068	0.085	0.075	0.065	0.051	0.030	0.018	0.017	0.054	0.134	0.280	0.132	0.044	0.017	0.015	0.049
0.033	0.024	0.011	0.017	0.045	0.034	0.036	0.040	0.064	0.033	0.011	0.017	0.042	0.144	0.262	0.123	0.050	0.024	0.042
0.055	0.043	0.009	0.007	0.014	0.007	0.012	0.022	0.044	0.044	0.029	0.018	0.025	0.056	0.144	0.253	0.133	0.048	0.052
0.069	0.055	0.013	0.008	0.009	0.002	0.004	0.007	0.023	0.033	0.047	0.032	0.023	0.024	0.063	0.143	0.246	0.115	0.050
0.025	0.038	0.016	0.009	0.008	0.002	0.005	0.007	0.011	0.010	0.032	0.029	0.027	0.022	0.032	0.054	0.119	0.265	0.132
0.003	0.010	0.004	0.013	0.014	0.009	0.011	0.010	0.010	0.013	0.009	0.013	0.022	0.041	0.032	0.034	0.031	0.078	0.218
