Age,M,F
0-4,2022994,1928052
5-9,2105263,2008974
10-14,1985332,1899294
15-19,1879833,1804701
20-24,2096581,2023688
25-29,2285353,2224992
30-34,2343986,2339650
35-39,2245818,2274115
40-44,2129100,2141685
45-49,2154010,2199884
50-54,2300871,2374047
55-59,2196916,2266531
60-64,1868565,1930920
65-69,1658433,1748557
70-74,1595596,1733900
75-79,1088727,1255234
80-84,748505,950525
85-89,431640,631795
90-94,170828,323197
95-99,40247,106470
100+,2837,12515
