! time (days)      u            v          prev=I/S0
    -1.85600     5.00000     0.00000     0.00000
    -1.85500     5.00000     0.00000     0.00000
    -1.85400     5.00000     0.00000     0.00000
    -1.85300     5.00000     0.00000     0.00000
    -1.85200     5.00000     0.00000     0.00000
    -1.85100     5.00000     0.00000     0.00000
    -1.85000     5.00000     0.00000     0.00000
    -1.84900     5.00000     0.00000     0.00000
    -1.84800     5.00000     0.00000     0.00000
    -1.84700     5.00000     0.00000     0.00000
    -1.84600     5.00000     0.00000     0.00000
    -1.84500     5.00000     0.00000     0.00000
    -1.84400     5.00000     0.00000     0.00000
    -1.84300     5.00000     0.00000     0.00000
    -1.84200     5.00000     0.00000     0.00000
    -1.84100     5.00000     0.00000     0.00000
    -1.84000     5.00000     0.00000     0.00000
    -1.83900     5.00000     0.00000     0.00000
    -1.83800     5.00000     0.00000     0.00000
    -1.83700     5.00000     0.00000     0.00000
    -1.83600     5.00000     0.00000     0.00000
    -1.83500     5.00000     0.00000     0.00000
    -1.83400     5.00000     0.00000     0.00000
    -1.83300     5.00000     0.00000     0.00000
    -1.83200     5.00000     0.00000     0.00000
    -1.83100     5.00000     0.00000     0.00000
    -1.83000     5.00000     0.00000     0.00000
    -1.82900     5.00000     0.00000     0.00000
    -1.82800     5.00000     0.00000     0.00000
    -1.82700     5.00000     0.00000     0.00000
    -1.82600     5.00000     0.00000     0.00000
    -1.82500     5.00000     0.00000     0.00000
    -1.82400     5.00000     0.00000     0.00000
    -1.82300     5.00000     0.00000     0.00000
    -1.82200     5.00000     0.00000     0.00000
    -1.82100     5.00000     0.00000     0.00000
    -1.82000     5.00000     0.00000     0.00000
    -1.81900     5.00000     0.00000     0.00000
    -1.81800     5.00000     0.00000     0.00000
    -1.81700     5.00000     0.00000     0.00000
    -1.81600     5.00000     0.00000     0.00000
    -1.81500     5.00000     0.00000     0.00000
    -1.81400     5.00000     0.00000     0.00000
    -1.81300     5.00000     0.00000     0.00000
    -1.81200     5.00000     0.00000     0.00000
    -1.81100     5.00000     0.00000     0.00000
    -1.81000     5.00000     0.00000     0.00000
    -1.80900     5.00000     0.00000     0.00000
    -1.80800     5.00000     0.00000     0.00000
    -1.80700     5.00000     0.00000     0.00000
    -1.80600     5.00000     0.00000     0.00000
    -1.80500     5.00000     0.00000     0.00000
    -1.80400     5.00000     0.00000     0.00000
    -1.80300     5.00000     0.00000     0.00000
    -1.80200     5.00000     0.00000     0.00000
    -1.80100     5.00000     0.00000     0.00000
    -1.80000     5.00000     0.00000     0.00000
    -1.79900     5.00000     0.00000     0.00000
    -1.79800     5.00000     0.00000     0.00000
    -1.79700     5.00000     0.00000     0.00000
    -1.79600     5.00000     0.00000     0.00000
    -1.79500     5.00000     0.00000     0.00000
    -1.79400     5.00000     0.00000     0.00000
    -1.79300     5.00000     0.00000     0.00000
    -1.79200     5.00000     0.00000     0.00000
    -1.79100     5.00000     0.00000     0.00000
    -1.79000     5.00000     0.00000     0.00000
    -1.78900     5.00000     0.00000     0.00000
    -1.78800     5.00000     0.00000     0.00000
    -1.78700     5.00000     0.00000     0.00000
    -1.78600     5.00000     0.00000     0.00000
    -1.78500     5.00000     0.00000     0.00000
    -1.78400     5.00000     0.00000     0.00000
    -1.78300     5.00000     0.00000     0.00000
    -1.78200     5.00000     0.00000     0.00000
    -1.78100     5.00000     0.00000     0.00000
    -1.78000     5.00000     0.00000     0.00000
    -1.77900     5.00000     0.00000     0.00000
    -1.77800     5.00000     0.00000     0.00000
    -1.77700     5.00000     0.00000     0.00000
    -1.77600     5.00000     0.00000     0.00000
    -1.77500     5.00000     0.00000     0.00000
    -1.77400     5.00000     0.00000     0.00000
    -1.77300     5.00000     0.00000     0.00000
    -1.77200     5.00000     0.00000     0.00000
    -1.77100     5.00000     0.00000     0.00000
    -1.77000     5.00000     0.00000     0.00000
    -1.76900     5.00000     0.00000     0.00000
    -1.76800     5.00000     0.00000     0.00000
    -1.76700     5.00000     0.00000     0.00000
    -1.76600     5.00000     0.00000     0.00000
    -1.76500     5.00000     0.00000     0.00000
    -1.76400     5.00000     0.00000     0.00000
    -1.76300     5.00000     0.00000     0.00000
    -1.76200     5.00000     0.00000     0.00000
    -1.76100     5.00000     0.00000     0.00000
    -1.76000     5.00000     0.00000     0.00000
    -1.75900     5.00000     0.00000     0.00000
    -1.75800     5.00000     0.00000     0.00000
    -1.75700     5.00000     0.00000     0.00000
    -1.75600     5.00000     0.00000     0.00000
    -1.75500     5.00000     0.00000     0.00000
    -1.75400     5.00000     0.00000     0.00000
    -1.75300     5.00000     0.00000     0.00000
    -1.75200     5.00000     0.00000     0.00000
    -1.75100     5.00000     0.00000     0.00000
    -1.75000     5.00000     0.00000     0.00000
    -1.74900     5.00000     0.00000     0.00000
    -1.74800     5.00000     0.00000     0.00000
    -1.74700     5.00000     0.00000     0.00000
    -1.74600     5.00000     0.00000     0.00000
    -1.74500     5.00000     0.00000     0.00000
    -1.74400     5.00000     0.00000     0.00000
    -1.74300     5.00000     0.00000     0.00000
    -1.74200     5.00000     0.00000     0.00000
    -1.74100     5.00000     0.00000     0.00000
    -1.74000     5.00000     0.00000     0.00000
    -1.73900     5.00000     0.00000     0.00000
    -1.73800     5.00000     0.00000     0.00000
    -1.73700     5.00000     0.00000     0.00000
    -1.73600     5.00000     0.00000     0.00000
    -1.73500     5.00000     0.00000     0.00000
    -1.73400     5.00000     0.00000     0.00000
    -1.73300     5.00000     0.00000     0.00000
    -1.73200     5.00000     0.00000     0.00000
    -1.73100     5.00000     0.00000     0.00000
    -1.73000     5.00000     0.00000     0.00000
    -1.72900     5.00000     0.00000     0.00000
    -1.72800     5.00000     0.00000     0.00000
    -1.72700     5.00000     0.00000     0.00000
    -1.72600     5.00000     0.00000     0.00000
    -1.72500     5.00000     0.00000     0.00000
    -1.72400     5.00000     0.00000     0.00000
    -1.72300     5.00000     0.00000     0.00000
    -1.72200     5.00000     0.00000     0.00000
    -1.72100     5.00000     0.00000     0.00000
    -1.72000     5.00000     0.00000     0.00000
    -1.71900     5.00000     0.00000     0.00000
    -1.71800     5.00000     0.00000     0.00000
    -1.71700     5.00000     0.00000     0.00000
    -1.71600     5.00000     0.00000     0.00000
    -1.71500     5.00000     0.00000     0.00000
    -1.71400     5.00000     0.00000     0.00000
    -1.71300     5.00000     0.00000     0.00000
    -1.71200     5.00000     0.00000     0.00000
    -1.71100     5.00000     0.00000     0.00000
    -1.71000     5.00000     0.00000     0.00000
    -1.70900     5.00000     0.00000     0.00000
    -1.70800     5.00000     0.00000     0.00000
    -1.70700     5.00000     0.00000     0.00000
    -1.70600     5.00000     0.00000     0.00000
    -1.70500     5.00000     0.00000     0.00000
    -1.70400     5.00000     0.00000     0.00000
    -1.70300     5.00000     0.00000     0.00000
    -1.70200     5.00000     0.00000     0.00000
    -1.70100     5.00000     0.00000     0.00000
    -1.70000     5.00000     0.00000     0.00000
    -1.69900     5.00000     0.00000     0.00000
    -1.69800     5.00000     0.00000     0.00000
    -1.69700     5.00000     0.00000     0.00000
    -1.69600     5.00000     0.00000     0.00000
    -1.69500     5.00000     0.00000     0.00000
    -1.69400     5.00000     0.00000     0.00000
    -1.69300     5.00000     0.00000     0.00000
    -1.69200     5.00000     0.00000     0.00000
    -1.69100     5.00000     0.00000     0.00000
    -1.69000     5.00000     0.00000     0.00000
    -1.68900     5.00000     0.00000     0.00000
    -1.68800     5.00000     0.00000     0.00000
    -1.68700     5.00000     0.00000     0.00000
    -1.68600     5.00000     0.00000     0.00000
    -1.68500     5.00000     0.00000     0.00000
    -1.68400     5.00000     0.00000     0.00000
    -1.68300     5.00000     0.00000     0.00000
    -1.68200     5.00000     0.00000     0.00000
    -1.68100     5.00000     0.00000     0.00000
    -1.68000     5.00000     0.00000     0.00000
    -1.67900     5.00000     0.00000     0.00000
    -1.67800     5.00000     0.00000     0.00000
    -1.67700     5.00000     0.00000     0.00000
    -1.67600     5.00000     0.00000     0.00000
    -1.67500     5.00000     0.00000     0.00000
    -1.67400     5.00000     0.00000     0.00000
    -1.67300     5.00000     0.00000     0.00000
    -1.67200     5.00000     0.00000     0.00000
    -1.67100     5.00000     0.00000     0.00000
    -1.67000     5.00000     0.00000     0.00000
    -1.66900     5.00000     0.00000     0.00000
    -1.66800     5.00000     0.00000     0.00000
    -1.66700     5.00000     0.00000     0.00000
    -1.66600     5.00000     0.00000     0.00000
    -1.66500     5.00000     0.00000     0.00000
    -1.66400     5.00000     0.00000     0.00000
    -1.66300     5.00000     0.00000     0.00000
    -1.66200     5.00000     0.00000     0.00000
    -1.66100     5.00000     0.00000     0.00000
    -1.66000     5.00000     0.00000     0.00000
    -1.65900     5.00000     0.00000     0.00000
    -1.65800     5.00000     0.00000     0.00000
    -1.65700     5.00000     0.00000     0.00000
    -1.65600     5.00000     0.00000     0.00000
    -1.65500     5.00000     0.00000     0.00000
    -1.65400     5.00000     0.00000     0.00000
    -1.65300     5.00000     0.00000     0.00000
    -1.65200     5.00000     0.00000     0.00000
    -1.65100     5.00000     0.00000     0.00000
    -1.65000     5.00000     0.00000     0.00000
    -1.64900     5.00000     0.00000     0.00000
    -1.64800     5.00000     0.00000     0.00000
    -1.64700     5.00000     0.00000     0.00000
    -1.64600     5.00000     0.00000     0.00000
    -1.64500     5.00000     0.00000     0.00000
    -1.64400     5.00000     0.00000     0.00000
    -1.64300     5.00000     0.00000     0.00000
    -1.64200     5.00000     0.00000     0.00000
    -1.64100     5.00000     0.00000     0.00000
    -1.64000     5.00000     0.00000     0.00000
    -1.63900     5.00000     0.00000     0.00000
    -1.63800     5.00000     0.00000     0.00000
    -1.63700     5.00000     0.00000     0.00000
    -1.63600     5.00000     0.00000     0.00000
    -1.63500     5.00000     0.00000     0.00000
    -1.63400     5.00000     0.00000     0.00000
    -1.63300     5.00000     0.00000     0.00000
    -1.63200     5.00000     0.00000     0.00000
    -1.63100     5.00000     0.00000     0.00000
    -1.63000     5.00000     0.00000     0.00000
    -1.62900     5.00000     0.00000     0.00000
    -1.62800     5.00000     0.00000     0.00000
    -1.62700     5.00000     0.00000     0.00000
    -1.62600     5.00000     0.00000     0.00000
    -1.62500     5.00000     0.00000     0.00000
    -1.62400     5.00000     0.00000     0.00000
    -1.62300     5.00000     0.00000     0.00000
    -1.62200     5.00000     0.00000     0.00000
    -1.62100     5.00000     0.00000     0.00000
    -1.62000     5.00000     0.00000     0.00000
    -1.61900     5.00000     0.00000     0.00000
    -1.61800     5.00000     0.00000     0.00000
    -1.61700     5.00000     0.00000     0.00000
    -1.61600     5.00000     0.00000     0.00000
